AccountID,Type,BillingState,BillingCountry,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c,AccountSource,label
0012o00002kqNPX,Standard,Nordrhein-Westfalen,Germany,Business,0.0,5001-10.000,Utilities,False,DACH,DACH - Utilities,0.0,3.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002i7Nlx,Standard,Niedersachsen,Germany,Business,0.0,21-100,Software & Technology,False,DACH,DACH - Whitepatch <5K,0.0,29.0,100.0,0.0,3.0,False,False,,False
0012o00002kqOTa,Standard,,United Kingdom,Business,0.0,1001-5000,Banking & Financial Services,True,EMEA N,UKI - Banking,0.0,42.0,100.0,50.0,25.0,False,False,HG Insights,False
0012o00002i7Nly,Standard,Wisconsin,United States,Business,0.0,21-100,,False,NA - Corporate & LATAM,NA - Central Corporate,0.0,142.0,0.0,0.0,3.0,False,False,,False
0012o00002kqQeh,Standard,West Yorkshire,United Kingdom,Business,0.0,1001-5000,Banking & Financial Services,False,EMEA N,UKI - Banking,0.0,1.0,100.0,50.0,3.0,False,False,Zoominfo,False
0012o00002i7NmU,Standard,,Norway,Business,0.0,21-100,Other,False,EMEA N,RoW - Nordics,0.0,5.0,0.0,0.0,3.0,False,False,,False
0012o00002kqSgy,Standard,New York,United States,Business,0.0,10.000+,"Telecommunications, Media & Entertainment",False,NA - Enterprise,NA - Northeast Enterprise,3.0,519.0,100.0,100.0,38.0,False,False,Marketing,False
0012o00002kqShH,Standard,Florida,United States,Business,0.0,10.000+,Banking & Financial Services,False,NA - Enterprise,NA - Southeast - Enterprise,0.0,96.0,100.0,100.0,3.0,False,False,Marketing,False
0012o00002sPYL8,Standard,jakarta raya,Indonesia,Business,0.0,10.000+,Banking & Financial Services,False,APAC,RoW - APAC (Prio),0.0,54.0,100.0,100.0,9.0,False,False,HG Insights,False
0012o00002sPM6o,Partner,New York,United States,Partner,0.0,1001-5000,Consulting & Business Services,False,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,0.0,50.0,50.0,3.0,False,False,HG Insights,False
0012o00002kqShu,Standard,New Jersey,United States,Business,0.0,10.000+,Insurance,False,NA - Enterprise,NA - DC Metro - Enterprise,1.0,1289.0,100.0,100.0,45.0,False,False,Marketing,False
0012o00002kqSi4,Standard,Tennessee,United States,Business,0.0,10.000+,Banking & Financial Services,False,NA - Enterprise,NA - Midwest - Enterprise,0.0,30.0,100.0,100.0,7.0,False,False,Marketing,False
0012o00002kqSiG,Standard,Ontario,Canada,Business,0.0,Less than 20,Manufacturing,False,NA - Corporate & LATAM,NA - Canada - Corporate,0.0,12.0,50.0,0.0,5.0,False,False,Zoominfo,False
0012o00002i7Nmp,Standard,Baden-W\u00fcrttemberg,Germany,Business,0.0,21-100,Software & Technology,False,DACH,DACH - Whitepatch <5K,0.0,37.0,100.0,0.0,6.0,False,False,,False
0012o00002kqSjC,Standard,New York,United States,Business,0.0,10.000+,Banking & Financial Services,False,NA - Enterprise,NA - Northeast Enterprise,0.0,13.0,100.0,100.0,3.0,False,False,Marketing,False
0012o00002sPQHo,Standard,Schleswig-Holstein,Germany,Business,0.0,1001-5000,"Public Sector, Government, Education",False,DACH,DACH - Public Sector,0.0,3.0,0.0,50.0,3.0,False,False,HG Insights,False
0012o00002i7Nn7,Standard,South Holland,Netherlands,Business,0.0,21-100,Software & Technology,False,EMEA W,Benelux - Software & Consulting,0.0,0.0,100.0,0.0,3.0,False,False,,False
0012o00002i7Nn5,Standard,Karnataka,India,Business,0.0,21-100,,False,APAC,RoW - APAC (Other),0.0,7.0,0.0,0.0,3.0,False,False,,False
0012o00002kqSjl,Standard,District of Columbia,United States,Business,0.0,10.000+,"Public Sector, Government, Education",False,NA - Enterprise,NA - DC Metro - Enterprise,0.0,1.0,0.0,100.0,3.0,False,False,Zoominfo,False
0012o00002i7NnQ,Standard,North Rhine-Westphalia,Germany,Business,0.0,21-100,"Telecommunications, Media & Entertainment",False,DACH,DACH - Telco & Media <5K,0.0,7.0,100.0,0.0,5.0,False,False,Marketing,False
0012o00002i7NnT,Standard,West Bengal,India,Business,0.0,21-100,,False,APAC,RoW - APAC (Other),0.0,14.0,0.0,0.0,3.0,False,False,,False
0012o00002i7NnU,Standard,Zurich,Switzerland,Business,0.0,21-100,Other,False,DACH,DACH - Whitepatch <5K,0.0,36.0,0.0,0.0,3.0,False,False,,False
0012o00002i7Nng,Standard,,Hong Kong,Business,0.0,21-100,,False,APAC,RoW - APAC (Prio),0.0,3.0,0.0,0.0,3.0,False,False,,False
0012o00002kqSnK,Standard,selangor,Malaysia,Business,0.0,10.000+,"Telecommunications, Media & Entertainment",False,APAC,RoW - APAC (Prio),1.0,79.0,100.0,100.0,15.0,False,False,Marketing,False
0012o00002i7Nnt,Standard,New South Wales,Australia,Business,0.0,21-100,"Telecommunications, Media & Entertainment",False,APAC,RoW - APAC (Prio),0.0,1.0,100.0,0.0,3.0,False,False,,False
0012o00002kqSnj,Standard,Michigan,United States,Business,0.0,10.000+,"Public Sector, Government, Education",False,NA - Enterprise,NA - Central Enterprise,0.0,181.0,0.0,100.0,7.0,False,False,Community,False
0012o00002kqSnv,Standard,IL,United States,Business,0.0,Less than 20,Retail,False,NA - Enterprise,NA - Central Enterprise,1.0,66.0,50.0,0.0,10.0,False,False,Marketing,False
0012o00002i7NoD,Standard,,Switzerland,Business,0.0,21-100,Other,False,DACH,DACH - Whitepatch <5K,0.0,53.0,0.0,0.0,3.0,False,False,,False
0012o00002i7Nnx,Standard,Aargau,Switzerland,Business,0.0,21-100,"Public Sector, Government, Education",False,DACH,DACH - Public Sector,0.0,8.0,0.0,0.0,8.0,False,False,Marketing,False
0012o00002i7Nnv,Standard,North Carolina,United States,Business,0.0,21-100,Other,False,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,99.0,0.0,0.0,5.0,False,False,Marketing,False
0012o00002i7NoO,Standard,Nordrhein-Westfalen,Germany,Business,0.0,5001-10.000,Other,False,DACH,DACH - Whitepatch 5K+,0.0,0.0,0.0,0.0,3.0,False,False,,False
0012o00002i7Nnz,Standard,Riyadh Province,Saudi Arabia,Business,0.0,21-100,Software & Technology,False,EMEA W,Middle East,0.0,42.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002i7NoL,Standard,Massachusetts,United States,Business,149770.0,5001-10.000,"Telecommunications, Media & Entertainment",False,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,1621.0,100.0,0.0,47.0,True,False,Marketing,True
0012o00002i7NoC,Standard,Punjab,Pakistan,Business,0.0,21-100,Software & Technology,False,APAC,RoW - APAC (Other),0.0,89.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002i7NoF,Standard,Occitanie,France,Business,0.0,21-100,Software & Technology,False,EMEA W,France - Software & Consulting,0.0,13.0,100.0,0.0,5.0,False,False,,False
0012o00002kqSpU,Standard,Michigan,United States,Business,42900.0,10.000+,"Public Sector, Government, Education",False,NA - Enterprise,NA - Central Enterprise,1.0,6.0,0.0,100.0,6.0,False,False,Marketing,False
0012o00002kqSpy,Standard,Florida,United States,Business,0.0,10.000+,Software & Technology,False,NA - Enterprise,NA - Southeast - Enterprise,0.0,29.0,100.0,100.0,4.0,False,False,Marketing,False
0012o00002i7Noe,Standard,,Israel,Business,0.0,Less than 20,Software & Technology,False,EMEA W,Middle East,0.0,23.0,100.0,0.0,3.0,False,False,,False
0012o00002i7Noz,Standard,Berlin,Germany,Business,0.0,Less than 20,,False,DACH,,0.0,4.0,0.0,0.0,3.0,False,False,,False
0012o00002kqSsY,Standard,New York,United States,Business,0.0,10.000+,"Telecommunications, Media & Entertainment",False,NA - Enterprise,NA - Northeast Enterprise,0.0,13.0,100.0,100.0,4.0,False,False,Marketing,False
0012o00002kqSsj,Standard,Colorado,United States,Business,0.0,Less than 20,Manufacturing,False,NA - Corporate & LATAM,NA - Central Corporate,0.0,9.0,50.0,0.0,3.0,False,False,Marketing,False
0012o00002kqSwu,Standard,California,United States,Business,0.0,10.000+,Banking & Financial Services,False,NA - Enterprise,NA - West Enterprise,0.0,82.0,100.0,100.0,4.0,False,False,Marketing,False
0012o00002i7NpY,Standard,,,Business,0.0,Less than 20,Insurance,False,DACH,DACH - Insurance <5K,0.0,5.0,100.0,0.0,3.0,False,False,,False
0012o00002i7NpQ,Standard,,,Business,0.0,Less than 20,,False,DACH,DACH - Whitepatch <5K,0.0,1.0,0.0,0.0,3.0,False,False,,False
0012o00002i7NpT,Standard,Bayern,Germany,Business,0.0,101-1000,"Public Sector, Government, Education",False,DACH,DACH - Public Sector,0.0,171.0,0.0,0.0,5.0,False,False,Marketing,False
0012o00002i7Npj,Standard,Nieder\u00f6sterreich,Austria,Business,0.0,Less than 20,Software & Technology,False,DACH,DACH - Whitepatch <5K,0.0,0.0,100.0,0.0,3.0,False,False,,False
0012o00002i7Npi,Standard,Nordrhein-Westfalen,Germany,Business,0.0,Less than 20,Software & Technology,False,DACH,DACH - Whitepatch <5K,0.0,53.0,100.0,0.0,3.0,False,False,,False
0012o00002i7Npr,Standard,,Germany,Business,0.0,Less than 20,,False,DACH,,0.0,0.0,0.0,0.0,3.0,False,False,,False
